Player_ID,Player Name,Position,Nationality,Age,Height,Year,Versus,Match_Date,Winner,Serve_Points,Serve_Errors,Serve_Attempts,Total_Serves,Set_Successes,Set_Errors,Set_Attempts,Total_Sets,Attack_Success,Attack Errors,Attack_Attempts,Total_Attacks,Block_Successful,Block_Errors,Block_Rebounds,Total_Blocks,Reception_Successful,Reception_Errors,Reception_Attemps,Total_Receptions,Dig_Success,Dig_Errors,Dig_Attempts,Total_Digs
152042.0,Herbots Britt,OH,Belgium,22.0,182,2021,Serbia,2021-06-08,True,0,3,11,14,0,0,4,4,27,7,43,77,1,7,1,9,3,0,4,7,13,4,3,20
152042.0,Herbots Britt,OH,Belgium,22.0,182,2021,Japan,2021-06-14,False,0,2,10,12,0,0,6,6,23,9,36,68,3,3,2,8,7,0,17,24,8,1,1,10
152042.0,Herbots Britt,OH,Belgium,22.0,182,2021,Thailand,2021-06-18,True,1,3,11,15,0,0,2,2,31,5,22,58,1,1,0,2,11,0,17,28,6,6,1,13
152042.0,Herbots Britt,OH,Belgium,22.0,182,2021,Italy,2021-06-19,True,0,1,12,13,0,0,1,1,33,10,24,67,1,4,1,6,6,0,11,17,4,1,1,6
152042.0,Herbots Britt,OH,Belgium,22.0,182,2021,Canada,2021-06-20,True,3,3,8,14,0,0,2,2,23,3,17,43,0,4,1,5,2,0,10,12,14,1,0,15
135880.0,Lemmens Nathalie,MB,Belgium,27.0,192,2021,Russia,2021-05-26,False,0,0,12,12,0,0,0,0,0,0,2,2,1,1,2,4,0,0,0,0,3,0,0,3
135880.0,Lemmens Nathalie,MB,Belgium,27.0,192,2021,Germany,2021-05-27,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135880.0,Lemmens Nathalie,MB,Belgium,27.0,192,2021,Dominican Republic,2021-05-31,True,0,1,9,10,0,0,0,0,2,0,3,5,0,5,5,10,0,0,0,0,4,0,0,4
135880.0,Lemmens Nathalie,MB,Belgium,27.0,192,2021,Poland,2021-06-01,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135880.0,Lemmens Nathalie,MB,Belgium,27.0,192,2021,China,2021-06-06,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135880.0,Lemmens Nathalie,MB,Belgium,27.0,192,2021,Brazil,2021-06-07,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135880.0,Lemmens Nathalie,MB,Belgium,27.0,192,2021,Serbia,2021-06-08,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
135880.0,Lemmens Nathalie,MB,Belgium,27.0,192,2021,USA,2021-06-12,False,0,0,5,5,0,0,0,0,4,0,5,9,2,0,7,9,0,0,0,0,1,0,0,1
135880.0,Lemmens Nathalie,MB,Belgium,27.0,192,2021,Japan,2021-06-14,False,0,2,4,6,0,0,0,0,1,1,3,5,1,2,10,13,0,0,0,0,1,0,0,1
135880.0,Lemmens Nathalie,MB,Belgium,27.0,192,2021,Thailand,2021-06-18,True,1,0,17,18,0,0,2,2,1,0,2,3,2,2,3,7,0,0,1,1,3,1,0,4
135880.0,Lemmens Nathalie,MB,Belgium,27.0,192,2021,Italy,2021-06-19,True,0,0,3,3,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
135880.0,Lemmens Nathalie,MB,Belgium,27.0,192,2021,Canada,2021-06-20,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156326.0,Guilliams Jodie,OH,Belgium,24.0,180,2021,Netherlands,2021-05-25,False,0,2,7,9,0,0,0,0,5,2,10,17,0,0,2,2,1,1,4,6,1,2,0,3
156326.0,Guilliams Jodie,OH,Belgium,24.0,180,2021,Russia,2021-05-26,False,0,1,12,13,0,0,0,0,7,8,9,24,0,4,5,9,3,1,7,11,5,0,1,6
156326.0,Guilliams Jodie,OH,Belgium,24.0,180,2021,Germany,2021-05-27,False,0,1,5,6,0,0,1,1,3,2,6,11,0,0,0,0,6,2,3,11,1,0,0,1
156326.0,Guilliams Jodie,OH,Belgium,24.0,180,2021,Dominican Republic,2021-05-31,True,1,2,14,17,0,0,0,0,14,6,24,44,3,5,3,11,7,1,3,11,15,5,4,24
156326.0,Guilliams Jodie,OH,Belgium,24.0,180,2021,Poland,2021-06-01,True,0,3,21,24,0,0,3,3,11,6,13,30,0,8,2,10,6,0,14,20,12,0,2,14
156326.0,Guilliams Jodie,OH,Belgium,24.0,180,2021,China,2021-06-06,True,2,1,6,9,0,0,4,4,2,2,14,18,0,2,5,7,3,0,13,16,12,3,0,15
